equipment_id,serial_number,equipment_desc,eq_length,eq_width,eq_height,eq_weight,dancefloor_restricted,dims_found,dims_missing
7315,21022711,RFK MRKTG cart,138.0,55.0,91.0,0,1.0,True,False
7317,26013162,88 tv box,62.0,21.0,44.0,0,0.0,True,False
7318,12001221,17 pit,142.0,60.0,90.0,0,0.0,True,False
7320,,TRD Mobility pit,133.0,63.0,100.0,0,0.0,True,False
7322,,TRD prc,93.0,28.0,60.0,0,0.0,True,False
7323,,Monster Fridge3,32.0,32.0,60.0,0,0.0,True,False
7324,26013130,20 pit,147.0,60.0,110.0,1,1.0,True,False
7327,21022718,17x Pit,128.0,59.0,90.0,0,0.0,True,False
7330,,32 NOR Pit,138.0,58.0,95.0,0,0.0,True,False
7335,22008792,62 tire buggy,1.0,1.0,1.0,0,0.0,True,False
7336,,Kobalt Tool,18.0,24.0,36.0,0,0.0,True,False
7337,,42 awning,0.0,0.0,0.0,0,0.0,True,True
7338,21022695,Spire Hosp,125.0,42.0,70.0,0,0.0,True,False
7342,859307,52 NOAPS pit,1.0,1.0,1.0,1,0.0,True,False
7349,,Champ Monster Tent,12.0,12.0,48.0,0,0.0,True,False
7350,26013164,HMS TV Box,40.0,36.0,20.0,0,0.0,True,False
7351,,33 awning,0.0,0.0,0.0,0,0.0,True,True
7354,,Welder,0.0,0.0,0.0,0,0.0,True,True
7355,,CH Toolbox,0.0,0.0,0.0,0,0.0,True,True
7358,,,,,,,,False,True
7359,22008807,42x pit,130.0,56.0,92.0,0,0.0,True,False
7361,21022719,17x PRC,130.0,32.0,92.0,0,0.0,True,False
7363,,TB Stack 3,63.0,35.0,68.0,0,0.0,True,False
7364,,TB Stack 4,63.0,35.0,68.0,0,0.0,True,False
7365,,TB Stack 5,63.0,35.0,68.0,0,0.0,True,False
7366,,TB Stack 6,63.0,35.0,68.0,0,0.0,True,False
7367,,TB Stack 7,63.0,35.0,68.0,0,0.0,True,False
7371,25098356,17 Awning,0.0,0.0,0.0,0,0.0,True,True
7381,1088346,TELE LIFT,156.0,72.0,76.0,0,0.0,True,False
7388,,35/53X pit,107.0,40.0,78.0,0,0.0,True,False
7390,26013146,HMS DVP box,75.0,38.0,75.0,0,0.0,True,False
7391,26013140,51 Awning,0.0,0.0,0.0,0,0.0,True,True
7395,21022620,67 PRC,140.0,34.0,100.0,0,0.0,True,False
7396,,67 Awning,0.0,0.0,0.0,0,0.0,True,True
7399,,Monster 6 Seat 148,128.0,48.0,72.0,0,0.0,True,False
7400,,Kat Med NXS Grill4,72.0,37.0,48.0,0,0.0,True,False
7401,,NBC PRC2,52.0,52.0,50.0,0,0.0,True,False
7404,26013172,THR Body Cart,144.0,72.0,60.0,0,0.0,True,False
7405,,66NCS Pit,130.0,55.0,92.0,0,0.0,True,False
7408,26013183,45 Nitro Cart,0.0,0.0,0.0,0,0.0,True,True
7409,26013169,4X Pit,130.0,55.0,80.0,0,0.0,True,False
7410,,,,,,,,False,True
7412,25024194,87X PRC,120.0,36.0,84.0,1,0.0,True,False
7413,25047081,87X Lrg Pit,132.0,70.0,94.0,1,1.0,True,False
7414,,,,,,,,False,True
7415,,Monster Pit,130.0,55.0,95.0,,0.0,True,False
7416,26013150,48 pit,147.0,60.0,110.0,1,1.0,True,False
7417,,02 awning,0.0,0.0,0.0,0,0.0,True,True
7419,26013165,Monster TV,62.0,30.0,44.0,0,0.0,True,False
7425,,2 Nitro,0.0,0.0,0.0,0,0.0,True,True
7430,26013154,99 pit,142.0,60.0,90.0,1,0.0,True,False
7431,21022744,99 PRC,135.0,35.0,90.0,1,0.0,True,False
7490,19083031,40 PRC,1.0,1.0,1.0,1,0.0,True,False
7493,26013132,24 pit,147.0,60.0,110.0,0,1.0,True,False
7497,26013177,THR Crash,66.0,40.0,69.0,0,0.0,True,False
7498,26013160,THR Cook1,52.0,36.0,51.0,0,0.0,True,False
7499,26013161,THR Cook2,52.0,36.0,51.0,0,0.0,True,False
7500,12013070,41 NOR pit,138.0,58.0,96.0,0,0.0,True,False
7501,,87 awning,0.0,0.0,0.0,0,0.0,True,True
7502,858803,CW Pit,138.0,55.0,90.0,0,0.0,True,False
7503,26013124,7 PRC,119.0,38.0,91.0,,0.0,True,False
7504,26013125,71 PRC,127.0,35.0,90.0,,0.0,True,False
7505,12013031,84 PRC,131.0,36.0,89.0,0,0.0,True,False
7506,25024198,9 tire buggies,0.0,0.0,0.0,0,0.0,True,True
7514,21047344,4x Gen,68.0,31.0,49.0,0,0.0,True,False
7515,26013141,RWR Warmer,24.0,22.0,1.0,,0.0,True,False
7519,26013174,20 Tent 2,18.0,26.0,1.0,,0.0,True,False
7520,26013178,88 Tent,18.0,26.0,0.0,,0.0,True,False
7521,26013182,5 Nitro,31.0,34.0,0.0,0,0.0,True,False
7522,,RWR Cook Box,83.0,36.0,51.0,0,0.0,True,False
7523,,KAT NASCAR,96.0,43.0,48.0,,0.0,True,False
7524,,19 tire buggies,0.0,0.0,0.0,0,0.0,True,True
7526,,4x Tire Buggy,1.0,1.0,1.0,,0.0,True,False
7527,,4x Nitro,1.0,1.0,1.0,,0.0,True,False
7529,,52 Nitro,0.0,0.0,0.0,0,0.0,True,True
7530,,52 tire buggy,0.0,0.0,0.0,0,0.0,True,True
7531,25024208,#42 Six seat Golf,140.0,48.0,75.0,,0.0,True,False
7534,,19 20 54 PRCs,120.0,34.0,90.0,0,0.0,True,False
7535,12001128,26 NXS pit,124.0,51.0,78.0,0,0.0,True,False
7536,12001127,26 NXS PRC,90.0,37.0,88.0,0,0.0,True,False
7537,915422,24 NXS PRC,120.0,36.0,92.0,0,0.0,True,False
7538,15083009,24 NXS pit,130.0,52.0,0.0,0,0.0,True,False
7539,25002316,LMC Hospitality,127.0,34.0,75.0,0,0.0,True,False
7540,26001077,SMI Pit1,132.0,48.0,72.0,,0.0,True,False
7541,26098227,43 prc hosp,86.0,32.0,78.0,,0.0,True,False
7542,26009071,HMS Market,100.0,40.0,83.0,,0.0,True,False
7543,,NBC Boom/Jib,70.0,48.0,40.0,0,0.0,True,False
7544,26001078,SMI Pit2,130.0,52.0,93.0,,0.0,True,False
7545,,43 GOLF,140.0,48.0,75.0,,0.0,True,False
7546,,DGM Utility,0.0,0.0,0.0,0,0.0,True,True
7547,,SMRT 1,120.0,68.0,60.0,,1.0,True,False
